食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　添付調味料等を含むもの,100,78.5,2.3,4.4,13.4,1.1
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　添付調味料等を含まないもの,189,59.8,3.9,7.7,27.9,0.4
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　添付調味料等を含まないもの,453,3.7,8.9,19.6,65.5,1.5
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　添付調味料等を含むもの,336,10,10.3,5.2,67.1,6.9
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　添付調味料等を含むもの,93,76.2,3,0.8,18.7,1.1
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　添付調味料等を含まないもの,139,63.9,3.4,0.8,31,0.6
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　添付調味料等を含まないもの,334,10.7,8.5,1.9,75.2,3
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　添付調味料等を含むもの,422,5.3,10.9,18.5,58.6,5.8
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　添付調味料等を含むもの,92,79.8,2.5,4.2,13.2,1.3
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　スープを残したもの,175,62,3.8,7.7,25.2,1.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　添付調味料等を含むもの,417,9.7,10,19.1,54.6,6.3
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　添付調味料等を含むもの,90,80.8,2.3,4.5,12.9,1.5
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　スープを残したもの,142,69.1,3,5.8,20.7,1.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　添付調味料等を含むもの,418,11.1,8.2,18.6,57.5,3.8
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　添付調味料等を含むもの,222,53.6,5,11.3,34.2,2.3
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　添付調味料等を含むもの,314,15.2,9.2,5.8,62.6,7.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　添付調味料等を含むもの,66,83.5,2.5,2.1,10.2,1.4
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　スープを残したもの,121,68.8,3.4,1.3,25.3,1
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　添付調味料等を含むもの,437,6.2,10.9,19.8,56.1,6.7
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　添付調味料等を含むもの,91,80.5,2.2,4.7,11.2,1.4
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　スープを残したもの,163,64.4,2.7,7.2,24.4,1.1
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347,11.3,12.9,1.8,73.1,0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150,60,5.8,0.9,32.2,1.2
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186,57,5.5,5.8,30.5,1.1
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232,42,7.8,1.9,46.9,1.2
こむぎ　［ふ類］　生ふ,161,60,12.7,0.8,26.2,0
こむぎ　［ふ類］　焼きふ　釜焼きふ,357,11.3,28.5,2.7,56.9,0
こむぎ　［ふ類］　焼きふ　板ふ,351,12.5,25.6,3.3,57.3,0.5
こむぎ　［ふ類］　焼きふ　車ふ,361,11.4,30.2,3.4,54.2,0.3
こむぎ　［ふ類］　油ふ,547,7.1,22.7,35.3,34.4,0.1
こむぎ　［その他］　小麦はいが,391,3.6,32,11.6,48.3,0
こむぎ　［その他］　小麦たんぱく　粉末状,398,6.5,72,9.7,10.6,0.2
こむぎ　［その他］　小麦たんぱく　粒状,101,76,20,2,1.8,0.1
こむぎ　［その他］　小麦たんぱく　ペースト状,145,66,25,4.1,3.9,0.6
こむぎ　［その他］　かやきせんべい,359,9.8,10.6,1.9,75.1,2.5
こむぎ　［その他］　ぎょうざの皮　生,275,32,9.3,1.4,57,0
こむぎ　［その他］　しゅうまいの皮　生,275,31.1,8.3,1.4,58.9,0
こむぎ　［その他］　春巻きの皮　生,288,26.7,8.3,1.6,62.2,1.1
こむぎ　［その他］　春巻きの皮　揚げ,512,7.3,7.2,30.7,53.7,0.9
こむぎ　［その他］　ピザ生地,265,35.3,9.1,3,51.1,1.3
こむぎ　［その他］　ちくわぶ,160,60.4,7.1,1.2,31.1,0
こむぎ　［その他］　パン粉　生,277,35,11,5.1,47.6,0.9
こむぎ　［その他］　パン粉　半生,315,26,12.5,5.8,54.3,1
こむぎ　［その他］　パン粉　乾燥,349,11.9,14.9,4.1,67.4,1.4
こむぎ　［その他］　冷めん　生,249,36.4,3.9,0.7,57.6,1.3
こめ　［水稲穀粒］　玄米,346,14.9,6.8,2.7,74.3,0
こめ　［水稲穀粒］　半つき米,345,14.9,6.5,1.8,75.9,0
こめ　［水稲穀粒］　七分つき米,348,14.9,6.3,1.5,76.6,0
こめ　［水稲穀粒］　精白米　うるち米,342,14.9,6.1,0.9,77.6,0
こめ　［水稲穀粒］　精白米　もち米,343,14.9,6.4,1.2,77.2,0
こめ　［水稲穀粒］　精白米　インディカ米,347,13.7,7.4,0.9,77.7,0
こめ　［水稲穀粒］　はいが精米,343,14.9,6.5,2,75.8,0
こめ　［水稲穀粒］　発芽玄米,339,14.9,6.5,3.3,74.3,0
こめ　［水稲穀粒］　赤米,344,14.6,8.5,3.3,71.9,0
こめ　［水稲穀粒］　黒米,341,15.2,7.8,3.2,72,0
こめ　［水稲めし］　玄米,152,60,2.8,1,35.6,0
こめ　［水稲めし］　半つき米,154,60,2.7,0.6,36.4,0
こめ　［水稲めし］　七分つき米,160,60,2.6,0.5,36.7,0
