食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
だいこん類　漬物　べったら漬,53,83.1,0.4,0.2,13.1,2.8
だいこん類　漬物　みそ漬,52,79,2.1,0.3,11.4,7.2
だいこん類　漬物　福神漬,137,58.6,2.7,0.1,33.3,5.1
たいさい類　つまみな　葉　生,19,92.3,1.9,0.3,3.6,0.1
たいさい類　たいさい　葉　生,15,93.7,0.9,0.1,3.5,0.1
たいさい類　たいさい　塩漬,19,90.9,1.6,0.1,4.3,1.8
たかな　葉　生,21,92.7,1.8,0.2,4.2,0.1
たかな　たかな漬,30,87.2,1.9,0.6,6.2,4
たけのこ　若茎　生,27,90.8,3.6,0.2,4.3,0
たけのこ　若茎　ゆで,31,89.9,3.5,0.2,5.5,0
たけのこ　水煮缶詰,22,92.8,2.7,0.2,4,0
たけのこ　めんま　塩蔵　塩抜き,15,93.9,1,0.5,3.6,0.9
たまねぎ類　たまねぎ　りん茎　生,33,90.1,1,0.1,8.4,0
たまねぎ類　たまねぎ　りん茎　水さらし,24,93,0.6,0.1,6.1,0
たまねぎ類　たまねぎ　りん茎　ゆで,30,91.5,0.8,0.1,7.3,0
たまねぎ類　たまねぎ　りん茎　油いため,100,80.1,1.4,5.9,12,0
たまねぎ類　たまねぎ　りん茎　油いため　あめ色たまねぎ,208,54.7,3.2,6.8,34.1,0
たまねぎ類　赤たまねぎ　りん茎　生,34,89.6,0.9,0.1,9,0
たまねぎ類　葉たまねぎ　りん茎及び葉　生,33,89.5,1.8,0.4,7.6,0
たらのめ　若芽　生,27,90.2,4.2,0.2,4.3,0
たらのめ　若芽　ゆで,27,90.8,4,0.2,4.1,0
チコリ　若芽　生,17,94.7,1,Tr,3.9,0
ちぢみゆきな　葉　生,35,88.1,3.6,0.6,5.7,0
ちぢみゆきな　葉　ゆで,34,89.1,3.8,0.7,5.2,0
チンゲンサイ　葉　生,9,96,0.6,0.1,2,0.1
チンゲンサイ　葉　ゆで,11,95.3,0.9,0.1,2.4,0.1
チンゲンサイ　葉　油いため,36,92.6,0.8,3.2,2.2,0.1
つくし　胞子茎　生,31,86.9,3.5,0.1,8.1,0
つくし　胞子茎　ゆで,28,88.9,3.4,0.1,6.7,0
つるな　茎葉　生,15,93.8,1.8,0.1,2.8,0
つるにんじん　根　生,55,77.7,1,0.7,19.8,0
つるむらさき　茎葉　生,11,95.1,0.7,0.2,2.6,0
つるむらさき　茎葉　ゆで,12,94.5,0.9,0.2,3.2,0
つわぶき　葉柄　生,19,93.3,0.4,0,5.6,0.3
つわぶき　葉柄　ゆで,14,95,0.3,0,4.4,0.1
とうがらし　葉･果実　生,32,86.7,3.4,0.1,7.2,0
とうがらし　葉･果実　油いため,81,79.5,4,4.9,8.5,0
とうがらし　果実　生,72,75,3.9,3.4,16.3,0
とうがらし　果実　乾,270,8.8,14.7,12,58.4,0
とうがん　果実　生,15,95.2,0.5,0.1,3.8,0
とうがん　果実　ゆで,15,95.3,0.6,0.1,3.7,0
とうもろこし類　スイートコーン　未熟種子　生,89,77.1,3.6,1.7,16.8,0
とうもろこし類　スイートコーン　未熟種子　ゆで,95,75.4,3.5,1.7,18.6,0
とうもろこし類　スイートコーン　未熟種子　電子レンジ調理,104,73.5,4.2,2.2,19.1,0
とうもろこし類　スイートコーン　未熟種子　穂軸つき　冷凍,96,75.6,3.5,1.5,18.7,0
とうもろこし類　スイートコーン　未熟種子　カーネル　冷凍,91,75.5,2.9,1.3,19.8,0
とうもろこし類　スイートコーン　未熟種子　カーネル　冷凍　ゆで,92,76.5,2.8,1.5,18.7,0
とうもろこし類　スイートコーン　未熟種子　カーネル　冷凍　油いため,125,71.8,2.9,5.8,18.9,0
とうもろこし類　スイートコーン　缶詰　クリームスタイル,82,78.2,1.7,0.5,18.6,0.7
とうもろこし類　スイートコーン　缶詰　ホールカーネルスタイル,78,78.4,2.3,0.5,17.8,0.5
とうもろこし類　ヤングコーン　幼雌穂　生,29,90.9,2.3,0.2,6,0
トマト類　赤色トマト　果実　生,20,94,0.7,0.1,4.7,0
トマト類　赤色ミニトマト　果実　生,30,91,1.1,0.1,7.2,0
トマト類　黄色トマト　果実　生,18,94.7,1.1,0.4,3.2,0
トマト類　ドライトマト,291,9.5,14.2,2.1,67.3,0.3
トマト類　加工品　ホール　食塩無添加,21,93.3,0.9,0.2,4.4,0
トマト類　加工品　トマトジュース　食塩添加,15,94.1,0.7,0.1,4,0.3
トマト類　加工品　トマトジュース　食塩無添加,18,94.1,0.7,0.1,4,0
トマト類　加工品　ミックスジュース　食塩添加,18,94.2,0.6,0,4.3,0.2
トマト類　加工品　ミックスジュース　食塩無添加,18,94.2,0.6,0,4.3,0
トレビス　葉　生,17,94.1,1.1,0.2,3.9,0
とんぶり　ゆで,89,76.7,6.1,3.5,12.9,0
ながさきはくさい　葉　生,12,93.9,1.3,0.1,2.6,0.1
ながさきはくさい　葉　ゆで,18,93.2,2.2,0.1,3.4,0
なす類　なす　果実　生,18,93.2,1.1,0.1,5.1,0
なす類　なす　果実　ゆで,17,94,1,0.1,4.5,0
なす類　なす　果実　油いため,73,85.8,1.5,5.8,6.3,0
なす類　なす　果実　天ぷら,165,71.9,1.6,14,12,0.1
なす類　べいなす　果実　生,20,93,1.1,0.1,5.3,0
なす類　べいなす　果実　素揚げ,177,74.8,1,17,6.7,0
なす類　漬物　塩漬,22,90.4,1.4,0.1,5.2,2.2
なす類　漬物　ぬかみそ漬,27,88.7,1.7,0.1,6.1,2.5
なす類　漬物　こうじ漬,87,69.1,5.5,0.1,18.2,6.6
なす類　漬物　からし漬,127,61.2,2.6,0.2,30.7,4.8
なす類　漬物　しば漬,27,86.4,1.4,0.2,7,4.1
なずな　葉　生,35,86.8,4.3,0.1,7,0
なばな類　和種なばな　花らい・茎　生,34,88.4,4.4,0.2,5.8,0
なばな類　和種なばな　花らい・茎　ゆで,28,90.2,4.7,0.1,4.3,0
なばな類　洋種なばな　茎葉　生,36,88.3,4.1,0.4,6,0
なばな類　洋種なばな　茎葉　ゆで,30,90,3.6,0.4,5.3,0
にがうり　果実　生,15,94.4,1,0.1,3.9,0
にがうり　果実　油いため,47,90.3,1.2,3.3,4.6,0
にら類　にら　葉　生,18,92.6,1.7,0.3,4,0
にら類　にら　葉　ゆで,27,89.8,2.6,0.5,5.7,0
にら類　にら　葉　油いため,69,85.8,1.9,5.7,4.9,0
にら類　花にら　花茎・花らい　生,27,91.4,1.9,0.2,5.9,0
にら類　黄にら　葉　生,18,94,2.1,0.1,3.3,0
にんじん類　葉にんじん　葉　生,16,93.5,1.1,0.2,3.7,0.1
にんじん類　にんじん　根　皮つき　生,35,89.1,0.7,0.2,9.3,0.1
にんじん類　にんじん　根　皮つき　ゆで,29,90.2,0.6,0.2,8.4,0.1
にんじん類　にんじん　根　皮なし　生,32,89.6,0.7,0.2,8.8,0.1
にんじん類　にんじん　根　皮なし　ゆで,28,90,0.7,0.1,8.5,0.1
にんじん類　にんじん　根　皮なし　油いため,103,79.1,1.1,6.4,12.4,0.1
にんじん類　にんじん　根　皮なし　素揚げ,87,80.6,1,3.5,13.9,0.1
にんじん類　にんじん　根　皮なし　カット　常法洗浄,27,91.5,0.5,0.2,7.3,0
にんじん類　にんじん　根　皮なし　カット　次亜塩素酸洗浄,27,91.5,0.6,0.2,7.2,0
にんじん類　にんじん　根　皮　生,26,90.4,0.7,0.2,7.3,0
にんじん類　にんじん　根　冷凍,30,90.2,0.8,0.2,8.2,0.1
にんじん類　にんじん　根　冷凍　ゆで,24,91.7,0.7,0.2,7,0.1
にんじん類　にんじん　根　冷凍　油いため,65,85.2,0.9,4,9.3,0.2
にんじん類　にんじん　グラッセ,53,83.8,0.7,1.4,12.7,1
にんじん類　にんじん　ジュース　缶詰,29,92,0.6,0.1,6.7,0
にんじん類　きんとき　根　皮つき　生,39,87.3,1.8,0.2,9.6,0
にんじん類　きんとき　根　皮つき　ゆで,37,87.7,1.9,0.2,9.2,0
にんじん類　きんとき　根　皮なし　生,40,87.1,1.8,0.3,9.7,0
にんじん類　きんとき　根　皮なし　ゆで,40,87.1,1.9,0.4,9.6,0
にんじん類　島にんじん　根　皮なし　生,35,88.9,1.1,0.4,8.8,0.1
にんじん類　ミニキャロット　根　生,26,90.9,0.7,0.2,7.5,0
にんにく類　にんにく　りん茎　生,129,63.9,6.4,0.9,27.5,0
にんにく類　にんにく　りん茎　油いため,191,53.7,8.2,5.9,30.6,0
にんにく類　茎にんにく　花茎　生,44,86.7,1.9,0.3,10.6,0
にんにく類　茎にんにく　花茎　ゆで,43,86.9,1.7,0.2,10.7,0
ねぎ類　根深ねぎ　葉　軟白　生,35,89.6,1.4,0.1,8.3,0
ねぎ類　根深ねぎ　葉　軟白　ゆで,28,91.4,1.3,0.1,6.8,0
ねぎ類　根深ねぎ　葉　軟白　油いため,77,83.9,1.6,4.4,9.5,0
ねぎ類　葉ねぎ　葉　生,29,90.5,1.9,0.3,6.5,0
ねぎ類　葉ねぎ　葉　油いため,77,83.9,2.1,5.2,7.9,0
ねぎ類　九条ねぎ　葉　生,32,90,1.7,0.3,7.3,0
ねぎ類　こねぎ　葉　生,26,91.3,2,0.3,5.4,0
ねぎ類　めねぎ　葉　生,15,94.9,1.5,0.3,2.4,0
のざわな　葉　生,14,94,0.9,0.1,3.5,0.1
のざわな　漬物　塩漬,17,91.8,1.2,0.1,4.1,1.5
のざわな　漬物　調味漬,22,89.5,1.7,0,5.4,2.4
のびる　りん茎葉　生,63,80.2,3.2,0.2,15.5,0
はくさい　結球葉　生,13,95.2,0.8,0.1,3.2,0
はくさい　結球葉　ゆで,13,95.4,0.9,0.1,2.9,0
はくさい　漬物　塩漬,17,92.1,1.5,0.1,3.3,2.1
はくさい　漬物　キムチ,27,88.4,2.3,0.1,5.4,2.9
パクチョイ　葉　生,15,94,1.6,0.2,2.7,0
バジル　葉　生,21,91.5,2,0.6,4,0
パセリ　葉　生,34,84.7,4,0.7,7.8,0
はつかだいこん　根　生,13,95.3,0.8,0.1,3.1,0
はなっこりー　生,34,89.5,3.6,0.5,5.4,0
はやとうり　果実　白色種　生,20,94,0.6,0.1,4.9,0
はやとうり　果実　白色種　塩漬,17,91,0.6,Tr,4.4,3.6
はやとうり　果実　緑色種　生,21,94,0.6,0.1,4.9,0
ビーツ　根　生,38,87.6,1.6,0.1,9.3,0.1
ビーツ　根　ゆで,42,86.9,1.5,0.1,10.2,0.1
ピーマン類　青ピーマン　果実　生,20,93.4,0.9,0.2,5.1,0
ピーマン類　青ピーマン　果実　油いため,54,89,0.9,4.3,5.4,0
ピーマン類　赤ピーマン　果実　生,28,91.1,1,0.2,7.2,0
ピーマン類　赤ピーマン　果実　油いため,69,86.6,1,4.3,7.6,0
ピーマン類　オレンジピーマン　果実　生,19,94.2,0.9,0.3,4.2,0
ピーマン類　オレンジピーマン　果実　油いため,81,85.8,1.1,5.1,7.6,0
ピーマン類　黄ピーマン　果実　生,28,92,0.8,0.2,6.6,0
ピーマン類　黄ピーマン　果実　油いため,61,87.6,0.8,4.3,6.9,0
ピーマン類　トマピー　果実　生,33,90.9,1,0.2,7.5,0
ひのな　根・茎葉　生,17,92.5,1,Tr,4.7,0
ひのな　根・茎葉　甘酢漬,70,76.4,1.4,0.5,17.3,2.8
ひろしまな　葉　生,19,92.7,1.5,0.2,4.2,0.1
ひろしまな　塩漬,15,92.7,1.2,0.2,3.3,2.1
ふき類　ふき　葉柄　生,11,95.8,0.3,0,3,0.1
ふき類　ふき　葉柄　ゆで,7,97.4,0.3,0,1.9,0.1
ふき類　ふきのとう　花序　生,38,85.5,2.5,0.1,10,0
ふき類　ふきのとう　花序　ゆで,31,89.2,2.5,0.1,7,0
ふじまめ　若ざや　生,32,89.2,2.5,0.1,7.4,0
ふだんそう　葉　生,17,92.2,2,0.1,3.7,0.2
ふだんそう　葉　ゆで,26,90.4,2.8,0.1,5.4,0.2
ブロッコリー　花序　生,37,86.2,5.4,0.6,6.6,0
ブロッコリー　花序　ゆで,30,89.9,3.9,0.4,5.2,0
ブロッコリー　花序　電子レンジ調理,56,85.3,5.7,0.7,7,0
ブロッコリー　花序　焼き,83,78.5,9.9,1.2,8.4,0
ブロッコリー　花序　油いため,109,79.2,6.9,6.3,6.1,0
ブロッコリー　芽ばえ　生,18,94.3,1.9,0.6,2.6,0
へちま　果実　生,17,94.9,0.8,0.1,3.8,0
へちま　果実　ゆで,19,94.2,1.6,0.1,3.7,0
ほうれんそう　葉　通年平均　生,18,92.4,2.2,0.4,3.1,0
ほうれんそう　葉　通年平均　ゆで,23,91.5,2.6,0.5,4,0
ほうれんそう　葉　通年平均　油いため,91,82,3.8,8.1,4.4,0
ほうれんそう　葉　夏採り　生,18,92.4,2.2,0.4,3.1,0
ほうれんそう　葉　夏採り　ゆで,23,91.5,2.6,0.5,4,0
ほうれんそう　葉　冬採り　生,18,92.4,2.2,0.4,3.1,0
ほうれんそう　葉　冬採り　ゆで,23,91.5,2.6,0.5,4,0
ほうれんそう　葉　冷凍,22,92.2,2.9,0.3,3.4,0.3
ほうれんそう　葉　冷凍　ゆで,26,90.6,3.7,0.5,3.8,0.1
ほうれんそう　葉　冷凍　油いため,67,84.6,4,4.5,5.4,0.4
ホースラディシュ　根茎　生,69,77.3,3.1,0.3,17.7,0
まこも　茎　生,19,93.5,1.3,0.2,4.4,0
みずかけな　葉　生,25,91.1,2.9,0.1,4.7,0
みずかけな　塩漬,34,85.6,4.9,Tr,5.7,2.5
みずな　葉　生,23,91.4,2.2,0.1,4.8,0.1
みずな　葉　ゆで,21,91.8,2,0.1,4.7,0.1
みずな　塩漬,26,88.2,2,0.1,5.9,2.3
みつば類　切りみつば　葉　生,16,93.8,1,0.1,4,0
みつば類　切りみつば　葉　ゆで,12,95.2,0.9,0.1,3.3,0
みつば類　根みつば　葉　生,19,92.7,1.9,0.1,4.1,0
みつば類　根みつば　葉　ゆで,19,92.9,2.3,0.1,3.9,0
みつば類　糸みつば　葉　生,12,94.6,0.9,0.1,2.9,0
みつば類　糸みつば　葉　ゆで,14,93.7,1.1,0,4,0
みぶな　葉　生,14,93.9,1.1,0.3,2.9,0.1
みょうが類　みょうが　花穂　生,11,95.6,0.9,0.1,2.6,0
みょうが類　みょうがたけ　茎葉　生,6,97.1,0.4,0.1,1.5,0
むかご　肉芽　生,87,75.1,2.9,0.2,20.6,0
めキャベツ　結球葉　生,52,83.2,5.7,0.1,9.9,0
めキャベツ　結球葉　ゆで,51,83.8,5.3,0.1,9.8,0
めたで　芽ばえ　生,39,87,3,0.5,8.8,0
もやし類　アルファルファもやし　生,11,96,1.6,0.1,2,0
もやし類　だいずもやし　生,29,92,3.6,1.4,2.5,0
もやし類　だいずもやし　ゆで,27,93,2.9,1.6,2.2,0
もやし類　だいずもやし　油いため,62,86.9,3.8,4.5,4.1,0
もやし類　ブラックマッペもやし　生,17,94.7,2.2,Tr,2.8,0
もやし類　ブラックマッペもやし　ゆで,13,95.8,1.3,Tr,2.7,0
もやし類　ブラックマッペもやし　油いため,41,90.6,2.3,0.9,5.8,0
もやし類　りょくとうもやし　生,15,95.4,1.8,0.1,2.4,0
もやし類　りょくとうもやし　ゆで,12,95.9,1.6,0,2.3,0
もやし類　りょくとうもやし　油いため,40,91,2,2.8,4,0
モロヘイヤ　茎葉　生,36,86.1,4.8,0.5,6.3,0
モロヘイヤ　茎葉　ゆで,24,91.3,3,0.4,4,0
やぶまめ　生,219,45.8,15.5,6.5,29.5,0
やまごぼう　みそ漬,66,72.8,4.1,0.1,15.6,7.1
ゆりね　りん茎　生,119,66.5,3.8,0.1,28.3,0
ゆりね　りん茎　ゆで,117,66.5,3.4,0.1,28.7,0
ようさい　茎葉　生,17,93,2.2,0.1,3.1,0.1
ようさい　茎葉　ゆで,18,92.4,2.2,0.1,4.1,0
よめな　葉　生,40,84.6,3.4,0.2,10,0
よもぎ　葉　生,43,83.6,5.2,0.3,8.7,0
よもぎ　葉　ゆで,37,85.9,4.8,0.1,8.2,0
らっかせい　未熟豆　生,306,50.1,12,24.2,12.4,0
らっかせい　未熟豆　ゆで,298,51.3,11.9,23.5,12.3,0
らっきょう類　らっきょう　りん茎　生,83,68.3,1.4,0.2,29.3,0
らっきょう類　らっきょう　甘酢漬,117,67.5,0.4,0.3,29.4,1.9
らっきょう類　エシャレット　りん茎　生,59,79.1,2.3,0.2,17.8,0
リーキ　りん茎葉　生,30,90.8,1.6,0.1,6.9,0
リーキ　りん茎葉　ゆで,28,91.3,1.3,0.1,6.8,0
ルッコラ　葉　生,17,92.7,1.9,0.4,3.1,0
ルバーブ　葉柄　生,23,92.1,0.7,0.1,6,0
ルバーブ　葉柄　ゆで,14,94.1,0.5,0.1,4.6,0
レタス類　レタス　土耕栽培　結球葉　生,11,95.9,0.6,0.1,2.8,0
レタス類　レタス　水耕栽培　結球葉　生,13,95.3,0.8,0.2,2.9,0
レタス類　サラダな　葉　生,10,94.9,1,0.2,2.7,0
レタス類　リーフレタス　葉　生,16,94,1.4,0.1,3.3,0
レタス類　サニーレタス　葉　生,15,94.1,1.2,0.2,3.2,0
レタス類　サンチュ　葉　生,14,94.5,1.2,0.4,2.5,0
レタス類　コスレタス　葉　生,16,94.5,1.2,0.2,3.4,0
れんこん　根茎　生,66,81.5,1.9,0.1,15.5,0.1
れんこん　根茎　ゆで,66,81.9,1.3,0.1,16.1,0
れんこん　甘酢れんこん,66,80.8,0.6,0.2,16.5,1.4
わけぎ　葉　生,30,90.3,1.6,0,7.4,0
わけぎ　葉　ゆで,29,90.4,1.9,0,6.9,0
わさび　根茎　生,89,74.2,5.6,0.2,18.4,0.1
わさび　わさび漬,140,61.4,7.1,0.5,28,2.5
わらび　生わらび　生,19,92.7,2.4,0.1,4,0
わらび　生わらび　ゆで,13,95.2,1.5,0.1,3,0
わらび　干しわらび　乾,216,10.4,20,0.7,61.4,0
その他　ミックスベジタブル　冷凍,67,80.5,3,0.7,15.1,0.1
その他　ミックスベジタブル　冷凍　ゆで,65,80.9,3.1,0.8,14.6,0
その他　ミックスベジタブル　冷凍　油いため,108,75.5,3.3,4.9,15.7,0.1
その他　野菜ミックスジュース　通常タイプ,21,93.9,0.8,0.1,4.7,0
その他　野菜ミックスジュース　濃縮タイプ,36,90,1,0.3,7.8,0.1
あけび　果肉　生,89,77.1,0.5,0.1,22,0
あけび　果皮　生,32,90.4,0.3,0.3,8.6,0
アサイー　冷凍　無糖,62,87.7,0.9,5.3,5,0
アセロラ　酸味種　生,36,89.9,0.7,0.1,9,0
アセロラ　甘味種　生,36,89.9,0.7,0.1,9,0
アセロラ　果実飲料　10%果汁入り飲料,42,89.4,0.1,0,10.5,0
アテモヤ　生,81,77.7,1.8,0.4,19.4,0
アボカド　生,176,71.3,2.1,17.5,7.9,0
あんず　生,37,89.8,1,0.3,8.5,0
あんず　乾,296,16.8,9.2,0.4,70.4,0
あんず　缶詰,79,79.8,0.5,0.4,18.9,0
あんず　ジャム　高糖度,252,34.5,0.3,0.1,64.9,0
あんず　ジャム　低糖度,202,48.8,0.4,0.1,50.5,0
いちご　生,31,90,0.9,0.1,8.5,0
いちご　ジャム　高糖度,250,36,0.4,0.1,63.3,0
いちご　ジャム　低糖度,194,50.7,0.5,0.1,48.4,0
いちご　乾,329,15.4,0.5,0.2,82.8,0.7
いちじく　生,57,84.6,0.6,0.1,14.3,0
いちじく　乾,272,18,3,1.1,75.3,0.2
いちじく　缶詰,78,79.7,0.5,0.1,19.4,0
うめ　生,33,90.4,0.7,0.5,7.9,0
うめ　梅漬　塩漬,27,72.3,0.7,0.4,6.7,19.3
うめ　梅漬　調味漬,45,80.2,1.5,0.5,10.5,6.9
うめ　梅干し　塩漬,29,72.2,0.9,0.7,8.6,18.2
うめ　梅干し　調味漬,90,68.7,1.5,0.6,21.1,7.6
うめ　梅びしお,196,42.4,0.7,0.5,48.1,7.9
うめ　果実飲料　20%果汁入り飲料,49,87.6,Tr,Tr,12.3,0.1
オリーブ　塩漬　グリーンオリーブ,148,75.6,1,15,4.5,3.6
オリーブ　塩漬　ブラックオリーブ,121,81.6,0.8,12.3,3.4,1.6
オリーブ　塩漬　スタッフドオリーブ,141,75.4,0.8,14.3,4.2,5.1
かき　甘がき　生,63,83.1,0.4,0.2,15.9,0
かき　渋抜きがき　生,59,82.2,0.5,0.1,16.9,0
かき　干しがき,274,24,1.5,1.7,71.3,0
かりん　生,58,80.7,0.4,0.1,18.3,0
かんきつ類　いよかん　砂じょう　生,50,86.7,0.9,0.1,11.8,0
かんきつ類　うんしゅうみかん　じょうのう　早生　生,49,87.2,0.5,0.1,11.9,0
かんきつ類　うんしゅうみかん　じょうのう　普通　生,49,86.9,0.7,0.1,12,0
かんきつ類　うんしゅうみかん　砂じょう　早生　生,47,87.8,0.5,0.1,11.3,0
かんきつ類　うんしゅうみかん　砂じょう　普通　生,49,87.4,0.7,0.1,11.5,0
かんきつ類　うんしゅうみかん　果実飲料　ストレートジュース,45,88.5,0.5,0.1,10.6,0
かんきつ類　うんしゅうみかん　果実飲料　濃縮還元ジュース,42,89.3,0.5,0.1,9.9,0
かんきつ類　うんしゅうみかん　果実飲料　果粒入りジュース,53,86.7,0.2,Tr,13,0
かんきつ類　うんしゅうみかん　果実飲料　50%果汁入り飲料,59,84.9,0.2,Tr,14.7,0
かんきつ類　うんしゅうみかん　果実飲料　20%果汁入り飲料,50,87.4,0.1,Tr,12.4,0
かんきつ類　うんしゅうみかん　缶詰　果肉,63,83.8,0.5,0.1,15.3,0
かんきつ類　うんしゅうみかん　缶詰　液汁,63,84.1,0.3,0.1,15.3,0
かんきつ類　オレンジ　ネーブル　砂じょう　生,48,86.8,0.9,0.1,11.8,0
かんきつ類　オレンジ　バレンシア　米国産　砂じょう　生,42,88.7,1,0.1,9.8,0
かんきつ類　オレンジ　バレンシア　果実飲料　ストレートジュース,45,87.8,0.8,Tr,11,0
かんきつ類　オレンジ　バレンシア　果実飲料　濃縮還元ジュース,46,88.1,0.7,0.1,10.7,0
かんきつ類　オレンジ　バレンシア　果実飲料　50%果汁入り飲料,46,88.4,0.4,0.2,10.8,0
かんきつ類　オレンジ　バレンシア　果実飲料　30%果汁入り飲料,41,89.7,0.2,Tr,10,0
かんきつ類　オレンジ　バレンシア　マーマレード　高糖度,233,36.4,0.2,0.1,63.2,0
かんきつ類　オレンジ　バレンシア　マーマレード　低糖度,190,51.7,0.3,0.1,47.7,0
かんきつ類　オレンジ　福原オレンジ　砂じょう　生,43,88.7,1,0.1,9.8,0
かんきつ類　オロブランコ　砂じょう　生,43,88.7,0.8,0.1,10.1,0
かんきつ類　かぼす　果汁　生,36,90.7,0.4,0.1,8.5,0
かんきつ類　かわちばんかん　砂じょう　生,38,90,0.7,0.2,8.8,0
かんきつ類　きよみ　砂じょう　生,45,88.4,0.8,0.2,10.3,0
かんきつ類　きんかん　全果　生,67,80.8,0.5,0.7,17.5,0
かんきつ類　グレープフルーツ　白肉種　砂じょう　生,40,89,0.9,0.1,9.6,0
かんきつ類　グレープフルーツ　紅肉種　砂じょう　生,40,89,0.9,0.1,9.6,0
かんきつ類　グレープフルーツ　果実飲料　ストレートジュース,44,88.7,0.6,0.1,10.3,0
かんきつ類　グレープフルーツ　果実飲料　濃縮還元ジュース,38,90.1,0.7,0.1,8.8,0
かんきつ類　グレープフルーツ　果実飲料　50%果汁入り飲料,45,88.4,0.3,Tr,11.1,0
かんきつ類　グレープフルーツ　果実飲料　20%果汁入り飲料,39,90.1,0.1,Tr,9.7,0
かんきつ類　グレープフルーツ　缶詰,60,82.1,0.5,Tr,17.1,0
かんきつ類　さんぼうかん　砂じょう　生,47,87.6,0.7,0.3,10.9,0
かんきつ類　シークヮーサー　果汁　生,35,90.9,0.8,0.1,7.9,0
かんきつ類　シークヮーサー　果実飲料　10%果汁入り飲料,48,88.1,0.1,Tr,11.8,0
かんきつ類　しらぬひ　砂じょう　生,56,85.8,0.8,0.2,12.9,0
かんきつ類　すだち　果皮　生,55,80.7,1.8,0.3,16.4,0
かんきつ類　すだち　果汁　生,29,92.5,0.5,0.1,6.6,0
かんきつ類　せとか　砂じょう　生,50,86.9,0.8,0.2,11.7,0
かんきつ類　セミノール　砂じょう　生,53,86,1.1,0.1,12.4,0
かんきつ類　だいだい　果汁　生,35,91.2,0.3,0.2,8,0
かんきつ類　なつみかん　砂じょう　生,42,88.6,0.9,0.1,10,0
かんきつ類　なつみかん　缶詰,80,79.7,0.5,0.1,19.4,0
かんきつ類　はっさく　砂じょう　生,47,87.2,0.8,0.1,11.5,0
かんきつ類　はるみ　砂じょう　生,52,86.5,0.9,0.2,12.1,0
かんきつ類　ひゅうがなつ　じょうのう及びアルベド　生,46,87.2,0.6,0.1,11.7,0
かんきつ類　ひゅうがなつ　砂じょう　生,35,90.7,0.6,0.1,8.3,0
かんきつ類　ぶんたん　砂じょう　生,41,89,0.7,0.1,9.8,0
かんきつ類　ぶんたん　ざぼん漬,338,14,0.2,0.1,85.5,0
かんきつ類　ぽんかん　砂じょう　生,42,88.8,0.9,0.1,9.9,0
かんきつ類　ゆず　果皮　生,50,83.7,1.2,0.5,14.2,0
かんきつ類　ゆず　果汁　生,30,92,0.5,0.1,7,0
かんきつ類　ライム　果汁　生,39,89.8,0.4,0.1,9.3,0
かんきつ類　レモン　全果　生,43,85.3,0.9,0.7,12.5,0
かんきつ類　レモン　果汁　生,24,90.5,0.4,0.2,8.6,0
キウイフルーツ　緑肉種　生,51,84.7,1,0.2,13.4,0
キウイフルーツ　黄肉種　生,63,83.2,1.1,0.2,14.9,0
きはだ　実　乾,378,13.1,7.3,9.8,65.1,0
キワノ　生,41,89.2,1.5,0.9,8,0
グァバ　赤肉種　生,33,88.9,0.6,0.1,9.9,0
グァバ　白肉種　生,33,88.9,0.6,0.1,9.9,0
グァバ　果実飲料　20%果汁入り飲料　ネクター,49,87.4,0.1,0.1,12.3,0
グァバ　果実飲料　10%果汁入り飲料,50,87.4,0.1,0.1,12.3,0
くこ　実　乾,387,4.8,12.3,4.1,75.3,1.3
ぐみ　生,72,81,1.3,0.2,17.2,0
ココナッツ　ココナッツウォーター,22,94.3,0.2,0.1,5,0
ココナッツ　ココナッツミルク,157,78.8,1.9,16,2.8,0
ココナッツ　ナタデココ,80,79.7,0,Tr,20.2,0
さくらんぼ　国産　生,64,83.1,1,0.2,15.2,0
さくらんぼ　米国産　生,64,81.1,1.2,0.1,17.1,0
さくらんぼ　米国産　缶詰,70,81.5,0.6,0.1,17.6,0
ざくろ　生,63,83.9,0.2,Tr,15.5,0
すいか　赤肉種　生,41,89.6,0.6,0.1,9.5,0
すいか　黄肉種　生,41,89.6,0.6,0.1,9.5,0
すぐり類　赤すぐり　冷凍,43,86,0.8,0.3,12.2,0
すぐり類　カシス　冷凍,62,79.4,1.6,1.6,13.4,0
すぐり類　グーズベリー　生,51,85.2,1,0.1,13.2,0
スターフルーツ　生,30,91.4,0.7,0.1,7.5,0
すもも類　にほんすもも　生,46,88.6,0.6,1,9.4,0
すもも類　プルーン　生,49,86.2,0.7,0.1,12.6,0
すもも類　プルーン　乾,211,33.3,2.4,0.2,62.3,0
チェリモヤ　生,82,78.1,1.3,0.3,19.8,0
ドラゴンフルーツ　生,52,85.7,1.4,0.3,11.8,0
ドリアン　生,140,66.4,2.3,3.3,27.1,0
なし類　日本なし　生,38,88,0.3,0.1,11.3,0
なし類　日本なし　缶詰,76,80.5,0.1,0.1,19.1,0
なし類　中国なし　生,49,86.8,0.2,0.1,12.7,0
なし類　西洋なし　生,48,84.9,0.3,0.1,14.4,0
なし類　西洋なし　缶詰,79,78.8,0.2,0.1,20.7,0
なつめ　乾,294,21,3.9,2,71.4,0
